ATP5O,-1.4502401511,-0.1048597181,-0.2341331958,-0.0745862769,0.2560104957
SNRPD3,-1.437313839,-0.6057666303,-0.2498773527,0.0233844152,-0.3426405583
PEBP1,-1.4361598205,-0.1027382844,-0.0312700925,0.0635044364,-0.0544232818
HSPD1,-1.4359849484,-0.167800635,1.2130672974,0.0725712228,0.1716437744
PABPC1,-1.433155374,-0.4338510247,0.1232627402,0.3557649553,0.3733123255
RPLP0,-1.432538755,-0.7866812127,0.1043971565,0.3193394595,0.351895638
CD180,-1.4275616116,0.5922833584,0.2502702763,-0.1373657921,0.6270916333
SF3A1,-1.4148116837,-0.5517625469,-0.1757663747,0.4406584233,-0.1760932688
SLC25A5,-1.4091165069,-0.4016252718,-0.2681361994,-0.0195711441,0.0672843726
FKBP1A,-1.4082342169,-0.5570027969,0.5999755428,-0.1297234479,0.8394706054
RPL23,-1.4017281232,-0.7932757761,0.1954620313,-0.2228468095,0.1760796127
ATIC,-1.3901995846,-0.4915808733,0.0211120903,0.2710973129,-0.1851771204
CDC2,-1.3874512685,-0.5335757344,0.3554678352,0.1028893739,0.0228007974
EEF1A1,-1.3764859375,-0.2695830819,0.2189468964,0.2682739289,0.207885567
ACTR2,-1.3739316241,-0.4207271506,0.1584058581,0.0225994594,-0.0392852149
ACTB,-1.3697069415,-0.3385375308,0.0430384199,0.0599484298,-0.0159277695
APEX1,-1.365117478,-0.375709318,0.110512506,0.8118042409,-0.5599098943
NME1,-1.3628600368,-0.6216369313,0.4805131178,0.174675224,0.0686955769
RPS21,-1.3595685125,-0.0940638852,0.0886794008,0.9262292448,-0.0224831203
IARS,-1.3532753431,-0.2255416049,-0.4607214419,0.1658979602,-0.0541104206
RPL5,-1.3469453655,-0.4589982418,0.46173193,0.3350108699,0.2363507592
ARMC9,-1.3430739347,-0.1245154162,0.4186634347,0.4057891143,0.6238804605
MATR3,-1.3363240955,0.0365297192,0.4430852514,-0.2110977253,0.388263307
TXNL2,-1.3334904033,-0.6914865898,0.5090035351,0.4942261002,0.4009411453
HNRPL,-1.3203411542,-0.1275938808,0.2590757919,-0.0517473495,0.2571540618
PRPS1,-1.3174302222,-0.0879287794,0.9502750678,-0.295284447,-1.1947884799
RPS3A,-1.3143274864,-0.7882023497,0.4019065227,0.381368984,0.4248918759
RPLP2,-1.3084240077,-0.6355275973,0.1557635781,0.2750804899,0.2722047059
RPL30,-1.3003045164,0.1770903221,0.2367647461,-0.2442494464,-0.1876147841
ACOX2,-1.299990298,-0.3622938241,0.0822055317,0.3559717435,0.0739751299
SNRP70,-1.29602962,-0.344519338,-0.3567346792,0.4292834367,0.841976917
HN1,-1.2929082526,-0.3618373289,0.0861096398,-0.4357178323,0.1695351989
C14orf166,-1.2905301463,-0.0519989407,-0.1436261566,-0.3373434908,-0.4514537552
CAND1,-1.2800837889,-0.5747761175,0.3784281158,0.5866962352,0.1740068473
RPS12,-1.2694995599,-0.4751355285,0.1975549013,0.1170056416,0.3531465041
PSMA7,-1.2600086847,-0.2033342137,-0.1091892614,0.3647541869,0.1895314083
PIGO,-1.255456445,-0.4663700736,0.2800494377,0.2748591585,0.674876885
PCBP2,-1.2492363625,-0.4071834016,-0.2443348284,0.3545095785,-0.1200441904
PAFAH1B1,-1.2442347736,-0.2566706673,0.545281278,0.4386241069,0.3007321212
RHOC,-1.2312027926,-0.5352993994,0.4814233725,0.6769584358,0.184575512
RAC2,-1.2253665499,-0.5740356133,0.1341192562,0.5050108293,0.3046184133
ACTA2,-1.2115872988,-0.5149652408,-0.1926063319,-0.1349249168,-0.3000674741
HSPD1,-1.2110718041,-0.2826266262,0.3373064523,0.0624186176,0.1698776099
NUDT21,-1.2093956174,-0.176579945,0.1157645596,-0.4083674828,0.0361768057
U2AF2,-1.206082079,-0.3234922142,-0.0639841827,0.1454206893,0.2003163217
RAN,-1.1975736522,-0.2717723996,0.269835853,0.1976122755,0.2767840433
RANGAP1,-1.1956031991,-0.7902553592,-0.0882357235,0.3066061932,0.702163129
HSP90B1,-1.1883300281,-0.3980953437,0.0681263316,-0.0976602674,0.1692935984
RPS17,-1.1847625702,-0.260187187,0.1426046489,0.4841844251,-0.1371659752
FH,-1.1836400628,-0.4919521106,0.0550679147,0.0959301077,-0.2593449569
LSM4,-1.1816514836,0.1489919157,-0.2298388012,0.2966061391,0.1829075475
,-1.172683435,-0.1342177963,-0.083126322,0.1742577556,0.1879925875
RBMXL1,-1.1686749605,-0.9681937897,0.3318499516,0.338123685,-0.0871013184
SRP9,-1.168153689,-0.4355252846,0.1708996936,-0.0584722306,0.1187550934
PSMA6,-1.1624775569,-0.3340688975,0.3857053725,0.0490912983,-0.0643154882
RBM14,-1.1558217827,-0.2547061366,0.6417573575,0.3542146279,0.9892576851
SCP2,-1.1483554802,-0.4797435927,0.3976404045,-0.1329276063,-0.1679273079
AHCY,-1.1442272333,-0.6118107347,-0.1813463093,0.9983533768,0.2155032919
DSTN,-1.1437701966,0.613053923,-0.071405981,-0.1372064701,0.0761763485
YWHAH,-1.1421813187,0.1678349846,0.200211666,0.2815175651,0.0430821309
NAP1L1,-1.1418382488,-0.2841825007,-0.506414263,0.5120968168,-0.0832385507
DDX1,-1.1415611275,-0.2317117241,-0.4292764017,0.1800695904,0.3141715144
